val_entry,val_family,val_id,nearest_train_entry,train_id,id_distance,val_gt_boxes,train_gt_boxes
data/images/frame_00418.npy,frame,418,data/images/frame_00417.npy,417,1,0,0
data/images/frame_00429.npy,frame,429,data/images/frame_00430.npy,430,1,1,1
data/images/frame_00490.npy,frame,490,data/images/frame_00491.npy,491,1,1,1
data/images/frame_00494.npy,frame,494,data/images/frame_00493.npy,493,1,1,1
data/images/frame_00502.npy,frame,502,data/images/frame_00503.npy,503,1,1,0
data/images/frame_00511.npy,frame,511,data/images/frame_00510.npy,510,1,0,0
data/images/frame_00933.npy,frame,933,data/images/frame_00932.npy,932,1,5,5
data/images/frame_01076.npy,frame,1076,data/images/frame_01075.npy,1075,1,0,0
data/images/frame_01078.npy,frame,1078,data/images/frame_01079.npy,1079,1,0,0
data/images/frame_01088.npy,frame,1088,data/images/frame_01087.npy,1087,1,0,0
data/images/frame_01113.npy,frame,1113,data/images/frame_01112.npy,1112,1,1,1
data/images/frame_01168.npy,frame,1168,data/images/frame_01167.npy,1167,1,0,0
data/images/frame_01171.npy,frame,1171,data/images/frame_01172.npy,1172,1,0,0
data/images/frame_01178.npy,frame,1178,data/images/frame_01177.npy,1177,1,0,0
data/images/frame_01179.npy,frame,1179,data/images/frame_01180.npy,1180,1,0,0
data/images/frame_01220.npy,frame,1220,data/images/frame_01221.npy,1221,1,0,0
data/images/frame_01222.npy,frame,1222,data/images/frame_01221.npy,1221,1,0,0
data/images/frame_01318.npy,frame,1318,data/images/frame_01317.npy,1317,1,2,2
data/images/frame_02513.npy,frame,2513,data/images/frame_02514.npy,2514,1,9,9
data/images/frame_02515.npy,frame,2515,data/images/frame_02514.npy,2514,1,9,9
data/images/nframe_01092.npy,nframe,1092,data/images/nframe_01091.npy,1091,1,3,4
data/images/nframe_01103.npy,nframe,1103,data/images/nframe_01104.npy,1104,1,3,2
data/images/nframe_01105.npy,nframe,1105,data/images/nframe_01104.npy,1104,1,3,2
data/images/nframe_01118.npy,nframe,1118,data/images/nframe_01119.npy,1119,1,4,4
data/images/nframe_01121.npy,nframe,1121,data/images/nframe_01120.npy,1120,1,4,5
data/images/nframe_01125.npy,nframe,1125,data/images/nframe_01126.npy,1126,1,3,4
data/images/nframe_01127.npy,nframe,1127,data/images/nframe_01126.npy,1126,1,4,4
data/images/nframe_01206.npy,nframe,1206,data/images/nframe_01207.npy,1207,1,3,4
data/images/nframe_01266.npy,nframe,1266,data/images/nframe_01265.npy,1265,1,5,5
data/images/nframe_01267.npy,nframe,1267,data/images/nframe_01268.npy,1268,1,5,5
data/images/nframe_02449.npy,nframe,2449,data/images/nframe_02450.npy,2450,1,2,2
data/images/nframe_02528.npy,nframe,2528,data/images/nframe_02527.npy,2527,1,6,6
data/images/nframe_02529.npy,nframe,2529,data/images/nframe_02530.npy,2530,1,6,6
data/images/nframe_02531.npy,nframe,2531,data/images/nframe_02530.npy,2530,1,6,6
data/images/nframe_02540.npy,nframe,2540,data/images/nframe_02541.npy,2541,1,6,6
data/images/nframe_02550.npy,nframe,2550,data/images/nframe_02549.npy,2549,1,6,6
data/images/nframe_02558.npy,nframe,2558,data/images/nframe_02559.npy,2559,1,6,7
data/images/nframe_02768.npy,nframe,2768,data/images/nframe_02769.npy,2769,1,3,2
data/images/nframe_03331.npy,nframe,3331,data/images/nframe_03332.npy,3332,1,1,2
data/images/nframe_03390.npy,nframe,3390,data/images/nframe_03389.npy,3389,1,2,2
data/images/nframe_03393.npy,nframe,3393,data/images/nframe_03394.npy,3394,1,2,2
data/images/nframe_03396.npy,nframe,3396,data/images/nframe_03395.npy,3395,1,2,2
data/images/nframe_03398.npy,nframe,3398,data/images/nframe_03397.npy,3397,1,3,3
data/images/nframe_03400.npy,nframe,3400,data/images/nframe_03399.npy,3399,1,2,3
data/images/nframe_03405.npy,nframe,3405,data/images/nframe_03406.npy,3406,1,2,3
data/images/nframe_03410.npy,nframe,3410,data/images/nframe_03409.npy,3409,1,3,3
data/images/nframe_03412.npy,nframe,3412,data/images/nframe_03413.npy,3413,1,4,4
data/images/nframe_03421.npy,nframe,3421,data/images/nframe_03420.npy,3420,1,3,3
data/images/nframe_03486.npy,nframe,3486,data/images/nframe_03487.npy,3487,1,1,1
data/images/nframe_03490.npy,nframe,3490,data/images/nframe_03489.npy,3489,1,1,1
data/images/nframe_04426.npy,nframe,4426,data/images/nframe_04425.npy,4425,1,4,4
data/images/nframe_04760.npy,nframe,4760,data/images/nframe_04761.npy,4761,1,1,1
data/images/nframe_04764.npy,nframe,4764,data/images/nframe_04763.npy,4763,1,1,1
data/images/nframe_05545.npy,nframe,5545,data/images/nframe_05544.npy,5544,1,2,2
data/images/nframe_05549.npy,nframe,5549,data/images/nframe_05548.npy,5548,1,2,3
data/images/nframe_06578.npy,nframe,6578,data/images/nframe_06577.npy,6577,1,1,1
data/images/nframe_06579.npy,nframe,6579,data/images/nframe_06580.npy,6580,1,1,1
data/images/nframe_06670.npy,nframe,6670,data/images/nframe_06669.npy,6669,1,1,1
data/images/nframe_06671.npy,nframe,6671,data/images/nframe_06672.npy,6672,1,1,1
data/images/nframe_06809.npy,nframe,6809,data/images/nframe_06810.npy,6810,1,1,1
data/images/nframe_07009.npy,nframe,7009,data/images/nframe_07008.npy,7008,1,1,1
data/images/nframe_07010.npy,nframe,7010,data/images/nframe_07011.npy,7011,1,1,1
data/images/nframe_07355.npy,nframe,7355,data/images/nframe_07356.npy,7356,1,1,1
data/images/nframe_07358.npy,nframe,7358,data/images/nframe_07357.npy,7357,1,1,1
data/images/nframe_07789.npy,nframe,7789,data/images/nframe_07790.npy,7790,1,1,2
data/images/nframe_07796.npy,nframe,7796,data/images/nframe_07795.npy,7795,1,3,3
data/images/nframe_07834.npy,nframe,7834,data/images/nframe_07833.npy,7833,1,2,2
data/images/nframe_07836.npy,nframe,7836,data/images/nframe_07837.npy,7837,1,2,2
data/images/nframe_07838.npy,nframe,7838,data/images/nframe_07837.npy,7837,1,2,2
data/images/nframe_07912.npy,nframe,7912,data/images/nframe_07911.npy,7911,1,2,2
data/images/nframe_07913.npy,nframe,7913,data/images/nframe_07914.npy,7914,1,2,2
data/images/nframe_09361.npy,nframe,9361,data/images/nframe_09360.npy,9360,1,1,1
data/images/nframe_09363.npy,nframe,9363,data/images/nframe_09364.npy,9364,1,1,1
data/images/nframe_09433.npy,nframe,9433,data/images/nframe_09432.npy,9432,1,1,1
data/images/nframe_09434.npy,nframe,9434,data/images/nframe_09435.npy,9435,1,1,1
data/images/nframe_09895.npy,nframe,9895,data/images/nframe_09894.npy,9894,1,4,4
data/images/frame_00419.npy,frame,419,data/images/frame_00417.npy,417,2,0,0
data/images/frame_00428.npy,frame,428,data/images/frame_00430.npy,430,2,1,1
data/images/frame_00489.npy,frame,489,data/images/frame_00491.npy,491,2,1,1
data/images/frame_00495.npy,frame,495,data/images/frame_00493.npy,493,2,1,1
data/images/frame_00501.npy,frame,501,data/images/frame_00503.npy,503,2,1,0
data/images/frame_00934.npy,frame,934,data/images/frame_00932.npy,932,2,5,5
data/images/frame_01077.npy,frame,1077,data/images/frame_01075.npy,1075,2,0,0
data/images/frame_01169.npy,frame,1169,data/images/frame_01167.npy,1167,2,0,0
data/images/frame_01170.npy,frame,1170,data/images/frame_01172.npy,1172,2,0,0
data/images/frame_01219.npy,frame,1219,data/images/frame_01221.npy,1221,2,0,0
data/images/frame_01223.npy,frame,1223,data/images/frame_01221.npy,1221,2,0,0
data/images/frame_02512.npy,frame,2512,data/images/frame_02514.npy,2514,2,8,9
data/images/frame_02516.npy,frame,2516,data/images/frame_02514.npy,2514,2,9,9
data/images/nframe_01093.npy,nframe,1093,data/images/nframe_01091.npy,1091,2,3,4
data/images/nframe_01102.npy,nframe,1102,data/images/nframe_01104.npy,1104,2,3,2
data/images/nframe_01106.npy,nframe,1106,data/images/nframe_01104.npy,1104,2,4,2
data/images/nframe_01117.npy,nframe,1117,data/images/nframe_01119.npy,1119,2,4,4
data/images/nframe_01122.npy,nframe,1122,data/images/nframe_01120.npy,1120,2,4,5
data/images/nframe_01124.npy,nframe,1124,data/images/nframe_01126.npy,1126,2,4,4
data/images/nframe_01128.npy,nframe,1128,data/images/nframe_01126.npy,1126,2,4,4
data/images/nframe_01205.npy,nframe,1205,data/images/nframe_01207.npy,1207,2,3,4
data/images/nframe_02448.npy,nframe,2448,data/images/nframe_02450.npy,2450,2,2,2
data/images/nframe_02532.npy,nframe,2532,data/images/nframe_02530.npy,2530,2,6,6
data/images/nframe_02539.npy,nframe,2539,data/images/nframe_02541.npy,2541,2,6,6
