val_path,nearest_train_path,val_id,train_id,id_distance,signature_distance,direct_rgb_mae,val_gt_boxes,train_gt_boxes,exact_sha256_duplicate
data/images/frame_00192.npy,data/images/nframe_06943.npy,192,6943,6751,72,NA,3,2,False
data/images/frame_00193.npy,data/images/nframe_06942.npy,193,6942,6749,66,NA,2,2,False
data/images/frame_00194.npy,data/images/nframe_00871.npy,194,871,677,68,NA,2,2,False
data/images/frame_00195.npy,data/images/nframe_08615.npy,195,8615,8420,66,NA,3,1,False
data/images/frame_00196.npy,data/images/nframe_06942.npy,196,6942,6746,70,NA,3,2,False
data/images/frame_00197.npy,data/images/nframe_00876.npy,197,876,679,60,NA,3,2,False
data/images/frame_00198.npy,data/images/nframe_06559.npy,198,6559,6361,64,NA,3,2,False
data/images/frame_00199.npy,data/images/nframe_06559.npy,199,6559,6360,64,NA,3,2,False
data/images/frame_00200.npy,data/images/nframe_06560.npy,200,6560,6360,66,NA,2,1,False
data/images/frame_00201.npy,data/images/nframe_06570.npy,201,6570,6369,64,NA,2,1,False
data/images/frame_00202.npy,data/images/nframe_06563.npy,202,6563,6361,68,NA,2,1,False
data/images/frame_00203.npy,data/images/nframe_06566.npy,203,6566,6363,64,NA,2,1,False
data/images/frame_00204.npy,data/images/nframe_02269.npy,204,2269,2065,62,NA,2,3,False
data/images/frame_00205.npy,data/images/nframe_02269.npy,205,2269,2064,58,NA,2,3,False
data/images/frame_00206.npy,data/images/nframe_06563.npy,206,6563,6357,56,NA,2,1,False
data/images/frame_00207.npy,data/images/nframe_02269.npy,207,2269,2062,58,NA,2,3,False
data/images/frame_00208.npy,data/images/nframe_02269.npy,208,2269,2061,60,NA,2,3,False
data/images/frame_00209.npy,data/images/nframe_06624.npy,209,6624,6415,56,NA,2,1,False
data/images/frame_00210.npy,data/images/nframe_02271.npy,210,2271,2061,56,NA,2,3,False
data/images/frame_00211.npy,data/images/nframe_02271.npy,211,2271,2060,56,NA,1,3,False
data/images/frame_00212.npy,data/images/nframe_06620.npy,212,6620,6408,54,NA,0,2,False
data/images/frame_00213.npy,data/images/nframe_02271.npy,213,2271,2058,52,NA,0,3,False
data/images/frame_00214.npy,data/images/nframe_02271.npy,214,2271,2057,54,NA,0,3,False
data/images/frame_00215.npy,data/images/nframe_02271.npy,215,2271,2056,50,NA,1,3,False
data/images/frame_00216.npy,data/images/nframe_06617.npy,216,6617,6401,50,NA,1,1,False
data/images/frame_00217.npy,data/images/nframe_06617.npy,217,6617,6400,52,NA,0,1,False
data/images/frame_00218.npy,data/images/nframe_06617.npy,218,6617,6399,50,NA,0,1,False
data/images/frame_00219.npy,data/images/nframe_06616.npy,219,6616,6397,50,NA,1,2,False
data/images/frame_00220.npy,data/images/nframe_06616.npy,220,6616,6396,54,NA,1,2,False
data/images/frame_00221.npy,data/images/nframe_06616.npy,221,6616,6395,56,NA,1,2,False
data/images/frame_00222.npy,data/images/nframe_06616.npy,222,6616,6394,52,NA,1,2,False
data/images/frame_00223.npy,data/images/nframe_06616.npy,223,6616,6393,52,NA,1,2,False
data/images/frame_00224.npy,data/images/nframe_06608.npy,224,6608,6384,54,NA,1,3,False
data/images/frame_00225.npy,data/images/nframe_06606.npy,225,6606,6381,54,NA,1,3,False
