cluster_id,cluster_pair_order,pair_id,family,validation_sample_id,validation_relative_path,validation_numeric_id,nearest_train_sample_id,nearest_train_relative_path,train_numeric_id,id_distance,pair_is_original_candidate_graph_edge,endpoints_in_same_reviewed_component,one_or_more_endpoint_in_reviewed_component,neither_endpoint_in_reviewed_component,validation_cdc_component_id,train_cdc_component_id,validation_reviewed_41_component_ids,train_reviewed_41_component_ids,exact_decoded_rgb_match,resized_rgb_mae,resized_rgb_absdiff_p95,diagnostic_rule,capture_order_claim,selection_basis
fpc_0044,1,fp_0143,nframe,nframe_03486,data/images/nframe_03486.npy,3486,nframe_03487,data/images/nframe_03487.npy,3487,1,no,no,yes,no,cdc_0812,cdc_0797,NA,tvcc_0025,no,3.348299,13.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0044,2,fp_0190,nframe,nframe_03485,data/images/nframe_03485.npy,3485,nframe_03487,data/images/nframe_03487.npy,3487,2,no,no,yes,no,cdc_0812,cdc_0797,NA,tvcc_0025,no,4.548403,19.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0044,3,fp_0216,nframe,nframe_03484,data/images/nframe_03484.npy,3484,nframe_03487,data/images/nframe_03487.npy,3487,3,no,no,yes,no,cdc_0812,cdc_0797,NA,tvcc_0025,no,4.826458,20.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0044,4,fp_0234,nframe,nframe_03483,data/images/nframe_03483.npy,3483,nframe_03487,data/images/nframe_03487.npy,3487,4,no,no,yes,no,cdc_0812,cdc_0797,NA,tvcc_0025,no,5.220643,22.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0044,5,fp_0251,nframe,nframe_03482,data/images/nframe_03482.npy,3482,nframe_03487,data/images/nframe_03487.npy,3487,5,no,no,yes,no,cdc_0810,cdc_0797,NA,tvcc_0025,no,6.361719,27.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0044,6,fp_0265,nframe,nframe_03481,data/images/nframe_03481.npy,3481,nframe_03487,data/images/nframe_03487.npy,3487,6,no,no,yes,no,cdc_0803,cdc_0797,tvcc_0024,tvcc_0025,no,7.313472,30.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0044,7,fp_0276,nframe,nframe_03480,data/images/nframe_03480.npy,3480,nframe_03487,data/images/nframe_03487.npy,3487,7,no,no,yes,no,cdc_0803,cdc_0797,tvcc_0024,tvcc_0025,no,7.725243,30.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0044,8,fp_0285,nframe,nframe_03479,data/images/nframe_03479.npy,3479,nframe_03487,data/images/nframe_03487.npy,3487,8,no,no,yes,no,cdc_0803,cdc_0797,tvcc_0024,tvcc_0025,no,7.821389,30.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0044,9,fp_0292,nframe,nframe_03478,data/images/nframe_03478.npy,3478,nframe_03487,data/images/nframe_03487.npy,3487,9,no,no,yes,no,cdc_0803,cdc_0797,tvcc_0024,tvcc_0025,no,7.821389,30.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0044,10,fp_0299,nframe,nframe_03477,data/images/nframe_03477.npy,3477,nframe_03487,data/images/nframe_03487.npy,3487,10,no,no,yes,no,cdc_0803,cdc_0797,tvcc_0024,tvcc_0025,no,7.362813,29.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
