cluster_id,cluster_pair_order,pair_id,family,validation_sample_id,validation_relative_path,validation_numeric_id,nearest_train_sample_id,nearest_train_relative_path,train_numeric_id,id_distance,pair_is_original_candidate_graph_edge,endpoints_in_same_reviewed_component,one_or_more_endpoint_in_reviewed_component,neither_endpoint_in_reviewed_component,validation_cdc_component_id,train_cdc_component_id,validation_reviewed_41_component_ids,train_reviewed_41_component_ids,exact_decoded_rgb_match,resized_rgb_mae,resized_rgb_absdiff_p95,diagnostic_rule,capture_order_claim,selection_basis
fpc_0023,1,fp_0120,nframe,nframe_01125,data/images/nframe_01125.npy,1125,nframe_01126,data/images/nframe_01126.npy,1126,1,no,no,yes,no,cdc_0518,cdc_0509,NA,tvcc_0015,no,0.871927,3.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0023,2,fp_0121,nframe,nframe_01127,data/images/nframe_01127.npy,1127,nframe_01126,data/images/nframe_01126.npy,1126,1,no,no,yes,no,cdc_0519,cdc_0509,NA,tvcc_0015,no,1.376719,5.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0023,3,fp_0176,nframe,nframe_01124,data/images/nframe_01124.npy,1124,nframe_01126,data/images/nframe_01126.npy,1126,2,no,no,yes,no,cdc_0518,cdc_0509,NA,tvcc_0015,no,0.871927,3.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0023,4,fp_0177,nframe,nframe_01128,data/images/nframe_01128.npy,1128,nframe_01126,data/images/nframe_01126.npy,1126,2,no,no,yes,no,cdc_0519,cdc_0509,tvcc_0017,tvcc_0015,no,1.634566,6.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0023,5,fp_0207,nframe,nframe_01129,data/images/nframe_01129.npy,1129,nframe_01126,data/images/nframe_01126.npy,1126,3,no,no,yes,no,cdc_0519,cdc_0509,tvcc_0017,tvcc_0015,no,2.140851,8.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0023,6,fp_0227,nframe,nframe_01130,data/images/nframe_01130.npy,1130,nframe_01126,data/images/nframe_01126.npy,1126,4,no,no,yes,no,cdc_0519,cdc_0509,tvcc_0017,tvcc_0015,no,2.377743,9.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0023,7,fp_0245,nframe,nframe_01131,data/images/nframe_01131.npy,1131,nframe_01126,data/images/nframe_01126.npy,1126,5,no,no,yes,no,cdc_0519,cdc_0509,tvcc_0017,tvcc_0015,no,2.436111,9.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0023,8,fp_0262,nframe,nframe_01132,data/images/nframe_01132.npy,1132,nframe_01126,data/images/nframe_01126.npy,1126,6,no,no,yes,no,cdc_0519,cdc_0509,tvcc_0017,tvcc_0015,no,2.443924,9.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0023,9,fp_0273,nframe,nframe_01133,data/images/nframe_01133.npy,1133,nframe_01126,data/images/nframe_01126.npy,1126,7,no,no,yes,no,cdc_0519,cdc_0509,tvcc_0017,tvcc_0015,no,2.462674,9.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0023,10,fp_0282,nframe,nframe_01134,data/images/nframe_01134.npy,1134,nframe_01126,data/images/nframe_01126.npy,1126,8,no,no,yes,no,cdc_0519,cdc_0509,tvcc_0017,tvcc_0015,no,2.473507,10.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
