cluster_id,cluster_pair_order,pair_id,family,validation_sample_id,validation_relative_path,validation_numeric_id,nearest_train_sample_id,nearest_train_relative_path,train_numeric_id,id_distance,pair_is_original_candidate_graph_edge,endpoints_in_same_reviewed_component,one_or_more_endpoint_in_reviewed_component,neither_endpoint_in_reviewed_component,validation_cdc_component_id,train_cdc_component_id,validation_reviewed_41_component_ids,train_reviewed_41_component_ids,exact_decoded_rgb_match,resized_rgb_mae,resized_rgb_absdiff_p95,diagnostic_rule,capture_order_claim,selection_basis
fpc_0020,1,fp_0116,nframe,nframe_01103,data/images/nframe_01103.npy,1103,nframe_01104,data/images/nframe_01104.npy,1104,1,no,no,yes,no,NA,cdc_0509,NA,tvcc_0015,no,2.934601,8.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0020,2,fp_0117,nframe,nframe_01105,data/images/nframe_01105.npy,1105,nframe_01104,data/images/nframe_01104.npy,1104,1,no,no,yes,no,NA,cdc_0509,NA,tvcc_0015,no,2.672830,8.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0020,3,fp_0172,nframe,nframe_01102,data/images/nframe_01102.npy,1102,nframe_01104,data/images/nframe_01104.npy,1104,2,no,no,yes,no,cdc_0514,cdc_0509,tvcc_0016,tvcc_0015,no,4.174357,11.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0020,4,fp_0173,nframe,nframe_01106,data/images/nframe_01106.npy,1106,nframe_01104,data/images/nframe_01104.npy,1104,2,no,no,yes,no,cdc_0515,cdc_0509,NA,tvcc_0015,no,3.660556,11.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0020,5,fp_0203,nframe,nframe_01101,data/images/nframe_01101.npy,1101,nframe_01104,data/images/nframe_01104.npy,1104,3,no,no,yes,no,cdc_0514,cdc_0509,tvcc_0016,tvcc_0015,no,4.035868,11.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0020,6,fp_0204,nframe,nframe_01107,data/images/nframe_01107.npy,1107,nframe_01104,data/images/nframe_01104.npy,1104,3,no,no,yes,no,cdc_0515,cdc_0509,NA,tvcc_0015,no,3.653785,11.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0020,7,fp_0224,nframe,nframe_01100,data/images/nframe_01100.npy,1100,nframe_01104,data/images/nframe_01104.npy,1104,4,no,no,yes,no,cdc_0514,cdc_0509,NA,tvcc_0015,no,4.032326,11.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0020,8,fp_0225,nframe,nframe_01108,data/images/nframe_01108.npy,1108,nframe_01104,data/images/nframe_01104.npy,1104,4,no,no,yes,no,NA,cdc_0509,NA,tvcc_0015,no,3.459618,10.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0020,9,fp_0242,nframe,nframe_01099,data/images/nframe_01099.npy,1099,nframe_01104,data/images/nframe_01104.npy,1104,5,no,no,yes,no,cdc_0514,cdc_0509,tvcc_0016,tvcc_0015,no,4.021493,11.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0020,10,fp_0243,nframe,nframe_01109,data/images/nframe_01109.npy,1109,nframe_01104,data/images/nframe_01104.npy,1104,5,no,no,yes,no,cdc_0516,cdc_0509,NA,tvcc_0015,no,3.123646,10.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
