cluster_id,cluster_pair_order,pair_id,family,validation_sample_id,validation_relative_path,validation_numeric_id,nearest_train_sample_id,nearest_train_relative_path,train_numeric_id,id_distance,pair_is_original_candidate_graph_edge,endpoints_in_same_reviewed_component,one_or_more_endpoint_in_reviewed_component,neither_endpoint_in_reviewed_component,validation_cdc_component_id,train_cdc_component_id,validation_reviewed_41_component_ids,train_reviewed_41_component_ids,exact_decoded_rgb_match,resized_rgb_mae,resized_rgb_absdiff_p95,diagnostic_rule,capture_order_claim,selection_basis
fpc_0047,1,fp_0146,nframe,nframe_04760,data/images/nframe_04760.npy,4760,nframe_04761,data/images/nframe_04761.npy,4761,1,no,no,no,yes,NA,cdc_0509,NA,NA,no,3.688177,17.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0047,2,fp_0192,nframe,nframe_04759,data/images/nframe_04759.npy,4759,nframe_04761,data/images/nframe_04761.npy,4761,2,no,no,no,yes,NA,cdc_0509,NA,NA,no,5.962222,28.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0047,3,fp_0218,nframe,nframe_04758,data/images/nframe_04758.npy,4758,nframe_04761,data/images/nframe_04761.npy,4761,3,no,no,no,yes,NA,cdc_0509,NA,NA,no,8.912535,41.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0047,4,fp_0236,nframe,nframe_04757,data/images/nframe_04757.npy,4757,nframe_04761,data/images/nframe_04761.npy,4761,4,no,no,no,yes,cdc_0945,cdc_0509,NA,NA,no,9.738576,43.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0047,5,fp_0253,nframe,nframe_04756,data/images/nframe_04756.npy,4756,nframe_04761,data/images/nframe_04761.npy,4761,5,no,no,no,yes,cdc_0945,cdc_0509,NA,NA,no,10.380694,46.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0047,6,fp_0267,nframe,nframe_04755,data/images/nframe_04755.npy,4755,nframe_04761,data/images/nframe_04761.npy,4761,6,no,no,no,yes,cdc_0945,cdc_0509,NA,NA,no,10.732604,48.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0047,7,fp_0278,nframe,nframe_04754,data/images/nframe_04754.npy,4754,nframe_04761,data/images/nframe_04761.npy,4761,7,no,no,no,yes,cdc_0945,cdc_0509,NA,NA,no,10.732604,48.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0047,8,fp_0287,nframe,nframe_04753,data/images/nframe_04753.npy,4753,nframe_04761,data/images/nframe_04761.npy,4761,8,no,no,no,yes,cdc_0945,cdc_0509,NA,NA,no,11.085400,51.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0047,9,fp_0294,nframe,nframe_04752,data/images/nframe_04752.npy,4752,nframe_04761,data/images/nframe_04761.npy,4761,9,no,no,no,yes,NA,cdc_0509,NA,NA,no,13.178837,61.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0047,10,fp_0301,nframe,nframe_04751,data/images/nframe_04751.npy,4751,nframe_04761,data/images/nframe_04761.npy,4761,10,no,no,no,yes,NA,cdc_0509,NA,NA,no,14.133820,64.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
