cluster_id,cluster_pair_order,pair_id,family,validation_sample_id,validation_relative_path,validation_numeric_id,nearest_train_sample_id,nearest_train_relative_path,train_numeric_id,id_distance,pair_is_original_candidate_graph_edge,endpoints_in_same_reviewed_component,one_or_more_endpoint_in_reviewed_component,neither_endpoint_in_reviewed_component,validation_cdc_component_id,train_cdc_component_id,validation_reviewed_41_component_ids,train_reviewed_41_component_ids,exact_decoded_rgb_match,resized_rgb_mae,resized_rgb_absdiff_p95,diagnostic_rule,capture_order_claim,selection_basis
fpc_0003,1,fp_0003,frame,frame_00490,data/images/frame_00490.npy,490,frame_00491,data/images/frame_00491.npy,491,1,no,no,yes,no,NA,cdc_0065,NA,tvcc_0002,no,10.109462,41.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0003,2,fp_0023,frame,frame_00489,data/images/frame_00489.npy,489,frame_00491,data/images/frame_00491.npy,491,2,no,no,yes,no,cdc_0064,cdc_0065,NA,tvcc_0002,no,15.035556,63.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0003,3,fp_0036,frame,frame_00488,data/images/frame_00488.npy,488,frame_00491,data/images/frame_00491.npy,491,3,no,no,yes,no,cdc_0064,cdc_0065,NA,tvcc_0002,no,17.096563,73.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0003,4,fp_0046,frame,frame_00487,data/images/frame_00487.npy,487,frame_00491,data/images/frame_00491.npy,491,4,no,no,yes,no,cdc_0063,cdc_0065,NA,tvcc_0002,no,21.009966,91.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0003,5,fp_0056,frame,frame_00486,data/images/frame_00486.npy,486,frame_00491,data/images/frame_00491.npy,491,5,no,no,yes,no,cdc_0063,cdc_0065,NA,tvcc_0002,no,21.964235,97.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0003,6,fp_0065,frame,frame_00485,data/images/frame_00485.npy,485,frame_00491,data/images/frame_00491.npy,491,6,no,no,yes,no,cdc_0063,cdc_0065,NA,tvcc_0002,no,23.290573,103.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0003,7,fp_0070,frame,frame_00484,data/images/frame_00484.npy,484,frame_00491,data/images/frame_00491.npy,491,7,no,no,yes,no,cdc_0061,cdc_0065,NA,tvcc_0002,no,24.985607,111.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0003,8,fp_0075,frame,frame_00483,data/images/frame_00483.npy,483,frame_00491,data/images/frame_00491.npy,491,8,no,no,yes,no,cdc_0061,cdc_0065,NA,tvcc_0002,no,25.549601,116.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0003,9,fp_0080,frame,frame_00482,data/images/frame_00482.npy,482,frame_00491,data/images/frame_00491.npy,491,9,no,no,yes,no,cdc_0062,cdc_0065,NA,tvcc_0002,no,25.560730,118.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
fpc_0003,10,fp_0085,frame,frame_00481,data/images/frame_00481.npy,481,frame_00491,data/images/frame_00491.npy,491,10,no,no,yes,no,cdc_0062,cdc_0065,NA,tvcc_0002,no,26.647865,122.000000,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
