sample_id,partition,rgb_path,raw_file_sha256,rgb_pixel_sha256,phash_hex,dhash_hex,height,width,dtype
frame_00000,train,D:\download\triair\data\images\frame_00000.npy,32c04a300f4f6bece21b37fed5e301b7f2e49eb583d5e3c0162cfbac15750d6e,b233d9ccceb57d05854690668a4c608bea838fd438df6c23c9dba8b8ff21ac24,e143bee9773f0220,982c2aa025295560,301,391,uint8
frame_00001,train,D:\download\triair\data\images\frame_00001.npy,ef5db161996ed866da37b37cc7397e9c4981ce39ea497d2bf6084f74b1d2ea58,5090bff454043cded3e0355ef0d3b1e4508d7d61b6866533c15e553ff646460d,e0479ee876af06e0,962c28a021395548,301,391,uint8
frame_00002,train,D:\download\triair\data\images\frame_00002.npy,84276566924217896a72e27527bc9977683e9d9ff8a6cbe53377f53433cd69bc,ad4597263c15713759e9f97bc755f11905240910729fed32cf2c2756ec8fc58a,e0439e6877af4ce0,9a282c3129397541,301,391,uint8
frame_00003,train,D:\download\triair\data\images\frame_00003.npy,8d99ee2b6753821e3829126b04ea0de650d5966ee9e27ff35f85188789b01b72,8ad8ff0c0fa54d8cd78c2cb67e372b07be0fa70cac513a859ecc66959b103ceb,e0439e6857af56e0,b828262928295560,301,391,uint8
frame_00004,train,D:\download\triair\data\images\frame_00004.npy,2f490171c02c6603806dec23af05cbbaa1aa75bbb1728b07782c4db62ea55f36,6c91d9db00a9ccef5b011ba10fc5e7496f26ccf99234c3e518ab26bcddc7180f,e0439e4157ad46ed,b82c2ca029384542,301,391,uint8
frame_00005,train,D:\download\triair\data\images\frame_00005.npy,a7c8d3192db6f7d5be99a67c22ea36c418e52c7cab08f9e1fd695b06349054aa,3ce8f1c5fecca145a702d7be4d14278e9c2dc6988f4806a7c3ae1821b801a082,e1479e40578b54f9,b43428a42135514a,301,391,uint8
frame_00006,train,D:\download\triair\data\images\frame_00006.npy,c6b5a06383130b6861f0f35533c1dc0ba39d9075790e0dd76d238659ef0d1918,b8fdac0ec79d389eafa99cb76efd84e0176d1fa9a08f2730d8da8f01f6dad444,e147ac40170dd6fd,b0bc282ea1295d52,301,391,uint8
frame_00007,train,D:\download\triair\data\images\frame_00007.npy,8975ac32b9a5f2c22f872c1d04c09e80c7f89864c2bb2f95750f63cdb54575ce,048117e0d88b1bdba0bb2e848b60f7418beb7472c858c60a8b4199b342c380d8,e1478c43170ad6fd,b4b43c2cb2295d52,301,391,uint8
frame_00008,train,D:\download\triair\data\images\frame_00008.npy,85c4dd512cdac78c8f8f9d394d4af5fddfd7b90654296bae6964ff7bba8850e3,feae0e0c444a85b9ab98030550049bff2dd7cc9a8b71c4a20cb293213a4abbf2,e1478e43070cd4ff,bcb43c24be39494a,301,391,uint8
frame_00009,train,D:\download\triair\data\images\frame_00009.npy,be8340973d9996c1f0d1d6556d3f3581c335d8736bb3a17e5e7e6fb47ec01cf1,e83d902d5f6357909cfc58baf863bc6020c117ede7fb1136d5fb237748d64832,e1c7ae430740daaf,b824282826315952,301,391,uint8
frame_00010,train,D:\download\triair\data\images\frame_00010.npy,f21656e9e21e76903f63193f53834e7c4076427ae291f6e3326533fc45ee26c3,c31db2ff7dea84e847e99799164339450c9eb78dbedc8a2259e5ad3bc2fae29d,e1c7ae430700f6af,ba2c2c2926315552,301,391,uint8
frame_00011,train,D:\download\triair\data\images\frame_00011.npy,2fa4bfc006c981b3b96cfc8a281902696d431a0ef0a66f59a65e7b0fbdd111be,1e0fc60c398d16823db07e0d454519118f8f762e172b254cddebbde12a8bf246,e1c7ae470702746f,b82c2c2925315152,301,391,uint8
frame_00012,train,D:\download\triair\data\images\frame_00012.npy,31730a03b35875bdc5604f18a25556844afd629e14e4d96490f4c1251a2bc231,ba334616e2bb5b810d1605ae223a6de539ae17d7ef10cc81e1adf8fe4adcb3db,e1c7af4207407f0f,ba3c282625305942,301,391,uint8
frame_00013,train,D:\download\triair\data\images\frame_00013.npy,b933c24480d38b3a91f07b2f76e144027b80157a96a0b11ead3a187ad8c450c1,59ffbb58e4dac6be6ba3fbf893fcd7c40bcad54f020221405a8c753e1cb83724,e1c7be420f40fd0b,3e2c2c3529315952,301,391,uint8
frame_00014,train,D:\download\triair\data\images\frame_00014.npy,3c1627bdfe0847fe5cca6dc0d903f1b4e6bf2338a89b08eddf4a9fb41e72649a,7f7bbd21541cdc42eca073bbbdc4cad24680b0965b839cd4c8e60bbdea017491,e1c7ee420e40ff0e,bcbc283524395941,301,391,uint8
frame_00015,train,D:\download\triair\data\images\frame_00015.npy,14c37732997f02841fe4305729b272d5f2c61d28d2a038dc87baf7b677e1e31d,c6c940c35f4adb859fd397f39cc9cfab3833331d3862ad9f319655c94f8151b2,e1c7ee468e407f0a,b8bc2c25b0303945,301,391,uint8
frame_00016,train,D:\download\triair\data\images\frame_00016.npy,30eacf7e77cb347766a00b08cf11c21b5e54eb86a08dc055565a6034fe9a59ea,ec6fc670fc142edc476462202a40b1e1805f0a77021ffce40bba380866703b84,e1c7fe068854bf0a,b0b42c2424295945,301,391,uint8
frame_00017,train,D:\download\triair\data\images\frame_00017.npy,74ba980e57f71d5b545de7b11e6f34c890731c3c7037769ce9b1f25a81e4e789,1789a72c9ca47afae21ad1018351a78d463c8b51e27d9fc151770aba0ab2a720,e1c7ee068c54bf0a,b2b42c2c24296955,301,391,uint8
frame_00018,train,D:\download\triair\data\images\frame_00018.npy,779a552b571de471099f059c4004829db11d53c861c887f96b41a14a055d2631,ecbaf197dcb962f50e288be101c7f2afcc4278b64007fc945999d67d36fed341,e1c7fe068cd43f02,b8b02c2c34297951,301,391,uint8
frame_00019,train,D:\download\triair\data\images\frame_00019.npy,bc74513af7f77d29f35b7b08a1190f249642ba774b748147aeb01a1effca54d3,ccab1f7dc393962c7fc5f1cd18d0dcb8270278a9f438e59a6f07f583af6aec44,e1c7fe068cd83f02,be38282c3a2a6155,301,391,uint8
frame_00020,train,D:\download\triair\data\images\frame_00020.npy,2b676024e81865e322bcec06ebdcd6070da7bbd7cd9bcb6683de3098e1490463,baf82ce9a6f8a2a376bef49095bb67f53fc413c9bebb8000d7a979e9399b8308,e1cffe068c553f00,9ab82c252a393155,301,391,uint8
frame_00021,train,D:\download\triair\data\images\frame_00021.npy,ddb8b322923ab0104d00dd2568728a66f6c7fbbf2a93bd1bc5378a8b70873ea1,1b4c225483fac88869878f78f9260896f3164bde9236ed6f560d2e824640c9f8,e1cffe0b8c791540,9aba342d24a93051,301,391,uint8
frame_00022,train,D:\download\triair\data\images\frame_00022.npy,fed708274a12048b25a91ace2097ba1251b60baa389ce7c3222e31dc0d2982c4,fc34631871fa1c635a5645f295adfd7c83ee83d289b2ba1c4a7542932867d8d7,e1c7de02ccff1580,be3a2d3935213149,301,391,uint8
