val_path,nearest_train_path,val_id,train_id,id_distance,signature_distance,direct_rgb_mae,val_gt_boxes,train_gt_boxes,exact_sha256_duplicate
data/images/frame_00375.npy,data/images/frame_00376.npy,375,376,1,2,NA,1,1,False
data/images/frame_00513.npy,data/images/frame_00523.npy,513,523,10,6,NA,0,0,False
data/images/nframe_01367.npy,data/images/nframe_01366.npy,1367,1366,1,4,NA,9,8,False
data/images/nframe_04723.npy,data/images/nframe_04724.npy,4723,4724,1,12,NA,3,3,False
data/images/nframe_07303.npy,data/images/nframe_07309.npy,7303,7309,6,14,NA,1,1,False
data/images/nframe_01530.npy,data/images/nframe_01531.npy,1530,1531,1,6,NA,8,9,False
data/images/frame_02853.npy,data/images/frame_02852.npy,2853,2852,1,14,NA,7,7,False
data/images/nframe_01992.npy,data/images/nframe_01993.npy,1992,1993,1,0,0.000000,3,3,False
data/images/nframe_05217.npy,data/images/nframe_05215.npy,5217,5215,2,22,NA,3,2,False
data/images/frame_01316.npy,data/images/frame_01315.npy,1316,1315,1,10,NA,1,2,False
data/images/frame_02010.npy,data/images/frame_02012.npy,2010,2012,2,6,NA,3,3,False
data/images/nframe_03971.npy,data/images/nframe_03970.npy,3971,3970,1,6,NA,3,2,False
data/images/nframe_06568.npy,data/images/nframe_06569.npy,6568,6569,1,0,0.000000,1,1,False
data/images/nframe_08408.npy,data/images/nframe_08407.npy,8408,8407,1,0,0.000000,5,5,False
data/images/frame_01456.npy,data/images/frame_01455.npy,1456,1455,1,6,NA,1,1,False
data/images/nframe_08679.npy,data/images/nframe_08634.npy,8679,8634,45,4,NA,3,3,False
data/images/nframe_02438.npy,data/images/nframe_02439.npy,2438,2439,1,24,NA,3,2,False
data/images/nframe_06960.npy,data/images/nframe_06946.npy,6960,6946,14,12,NA,1,1,False
data/images/nframe_06994.npy,data/images/nframe_06993.npy,6994,6993,1,10,NA,2,2,False
data/images/nframe_01172.npy,data/images/nframe_01193.npy,1172,1193,21,4,NA,3,3,False
